release_id,char_id,section_id,deadline_date
R_001,C_001,S_001,2026-08-21
R_001,C_001,S_003,2026-09-15
R_001,C_001,S_002,2026-10-06
R_001,C_001,S_004,2026-10-25
R_001,C_001,S_005,2026-09-05
R_001,C_002,S_001,2026-08-21
R_001,C_002,S_003,2026-09-15
R_001,C_002,S_002,2026-10-06
R_001,C_002,S_004,2026-10-25
R_001,C_002,S_005,2026-09-05
R_002,C_003,S_001,2026-09-20
R_002,C_003,S_003,2026-10-15
R_002,C_003,S_002,2026-11-05
R_002,C_003,S_004,2026-11-24
R_002,C_003,S_005,2026-10-05
R_002,C_004,S_001,2026-09-20
R_002,C_004,S_003,2026-10-15
R_002,C_004,S_002,2026-11-05
R_002,C_004,S_004,2026-11-24
R_002,C_004,S_005,2026-10-05
R_003,C_005,S_001,2026-10-20
R_003,C_005,S_003,2026-11-14
R_003,C_005,S_002,2026-12-05
R_003,C_005,S_004,2026-12-24
R_003,C_005,S_005,2026-11-04
R_003,C_006,S_001,2026-10-20
R_003,C_006,S_003,2026-11-14
R_003,C_006,S_002,2026-12-05
R_003,C_006,S_004,2026-12-24
R_003,C_006,S_005,2026-11-04
R_004,C_007,S_001,2026-11-19
R_004,C_007,S_003,2026-12-14
R_004,C_007,S_002,2027-01-04
R_004,C_007,S_004,2027-01-23
R_004,C_007,S_005,2026-12-04
R_004,C_008,S_001,2026-11-19
R_004,C_008,S_003,2026-12-14
R_004,C_008,S_002,2027-01-04
R_004,C_008,S_004,2027-01-23
R_004,C_008,S_005,2026-12-04
R_005,C_009,S_001,2026-12-19
R_005,C_009,S_003,2027-01-13
R_005,C_009,S_002,2027-02-03
R_005,C_009,S_004,2027-02-22
R_005,C_009,S_005,2027-01-03
R_005,C_010,S_001,2026-12-19
R_005,C_010,S_003,2027-01-13
R_005,C_010,S_002,2027-02-03
R_005,C_010,S_004,2027-02-22
R_005,C_010,S_005,2027-01-03
R_006,C_011,S_001,2027-01-18
R_006,C_011,S_003,2027-02-12
R_006,C_011,S_002,2027-03-05
R_006,C_011,S_004,2027-03-24
R_006,C_011,S_005,2027-02-02
R_006,C_012,S_001,2027-01-18
R_006,C_012,S_003,2027-02-12
R_006,C_012,S_002,2027-03-05
R_006,C_012,S_004,2027-03-24
R_006,C_012,S_005,2027-02-02
R_007,C_013,S_001,2027-02-17
R_007,C_013,S_003,2027-03-14
R_007,C_013,S_002,2027-04-04
R_007,C_013,S_004,2027-04-23
R_007,C_013,S_005,2027-03-04
R_007,C_014,S_001,2027-02-17
R_007,C_014,S_003,2027-03-14
R_007,C_014,S_002,2027-04-04
R_007,C_014,S_004,2027-04-23
R_007,C_014,S_005,2027-03-04
R_008,C_015,S_001,2027-03-19
R_008,C_015,S_003,2027-04-13
R_008,C_015,S_002,2027-05-04
R_008,C_015,S_004,2027-05-23
R_008,C_015,S_005,2027-04-03
R_008,C_016,S_001,2027-03-19
R_008,C_016,S_003,2027-04-13
R_008,C_016,S_002,2027-05-04
R_008,C_016,S_004,2027-05-23
R_008,C_016,S_005,2027-04-03
R_009,C_017,S_001,2027-04-18
R_009,C_017,S_003,2027-05-13
R_009,C_017,S_002,2027-06-03
R_009,C_017,S_004,2027-06-22
R_009,C_017,S_005,2027-05-03
R_009,C_018,S_001,2027-04-18
R_009,C_018,S_003,2027-05-13
R_009,C_018,S_002,2027-06-03
R_009,C_018,S_004,2027-06-22
R_009,C_018,S_005,2027-05-03
R_010,C_019,S_001,2027-05-18
R_010,C_019,S_003,2027-06-12
R_010,C_019,S_002,2027-07-03
R_010,C_019,S_004,2027-07-22
R_010,C_019,S_005,2027-06-02
R_010,C_020,S_001,2027-05-18
R_010,C_020,S_003,2027-06-12
R_010,C_020,S_002,2027-07-03
R_010,C_020,S_004,2027-07-22
R_010,C_020,S_005,2027-06-02
R_011,C_021,S_001,2027-06-17
R_011,C_021,S_003,2027-07-12
R_011,C_021,S_002,2027-08-02
R_011,C_021,S_004,2027-08-21
R_011,C_021,S_005,2027-07-02
R_011,C_022,S_001,2027-06-17
R_011,C_022,S_003,2027-07-12
R_011,C_022,S_002,2027-08-02
R_011,C_022,S_004,2027-08-21
R_011,C_022,S_005,2027-07-02
R_012,C_023,S_001,2027-07-17
R_012,C_023,S_003,2027-08-11
R_012,C_023,S_002,2027-09-01
R_012,C_023,S_004,2027-09-20
R_012,C_023,S_005,2027-08-01
R_012,C_024,S_001,2027-07-17
R_012,C_024,S_003,2027-08-11
R_012,C_024,S_002,2027-09-01
R_012,C_024,S_004,2027-09-20
R_012,C_024,S_005,2027-08-01
R_013,C_025,S_001,2027-08-16
R_013,C_025,S_003,2027-09-10
R_013,C_025,S_002,2027-10-01
R_013,C_025,S_004,2027-10-20
R_013,C_025,S_005,2027-08-31
R_013,C_026,S_001,2027-08-16
R_013,C_026,S_003,2027-09-10
R_013,C_026,S_002,2027-10-01
R_013,C_026,S_004,2027-10-20
R_013,C_026,S_005,2027-08-31
R_014,C_027,S_001,2027-09-15
R_014,C_027,S_003,2027-10-10
R_014,C_027,S_002,2027-10-31
R_014,C_027,S_004,2027-11-19
R_014,C_027,S_005,2027-09-30
R_014,C_028,S_001,2027-09-15
R_014,C_028,S_003,2027-10-10
R_014,C_028,S_002,2027-10-31
R_014,C_028,S_004,2027-11-19
R_014,C_028,S_005,2027-09-30
R_015,C_029,S_001,2027-10-15
R_015,C_029,S_003,2027-11-09
R_015,C_029,S_002,2027-11-30
R_015,C_029,S_004,2027-12-19
R_015,C_029,S_005,2027-10-30
R_015,C_030,S_001,2027-10-15
R_015,C_030,S_003,2027-11-09
R_015,C_030,S_002,2027-11-30
R_015,C_030,S_004,2027-12-19
R_015,C_030,S_005,2027-10-30
R_016,C_031,S_001,2027-11-14
R_016,C_031,S_003,2027-12-09
R_016,C_031,S_002,2027-12-30
R_016,C_031,S_004,2028-01-18
R_016,C_031,S_005,2027-11-29
R_016,C_032,S_001,2027-11-14
R_016,C_032,S_003,2027-12-09
R_016,C_032,S_002,2027-12-30
R_016,C_032,S_004,2028-01-18
R_016,C_032,S_005,2027-11-29
R_017,C_033,S_001,2027-12-14
R_017,C_033,S_003,2028-01-08
R_017,C_033,S_002,2028-01-29
R_017,C_033,S_004,2028-02-17
R_017,C_033,S_005,2027-12-29
R_017,C_034,S_001,2027-12-14
R_017,C_034,S_003,2028-01-08
R_017,C_034,S_002,2028-01-29
R_017,C_034,S_004,2028-02-17
R_017,C_034,S_005,2027-12-29
R_018,C_035,S_001,2028-01-13
R_018,C_035,S_003,2028-02-07
R_018,C_035,S_002,2028-02-28
R_018,C_035,S_004,2028-03-18
R_018,C_035,S_005,2028-01-28
R_018,C_036,S_001,2028-01-13
R_018,C_036,S_003,2028-02-07
R_018,C_036,S_002,2028-02-28
R_018,C_036,S_004,2028-03-18
R_018,C_036,S_005,2028-01-28
R_019,C_037,S_001,2028-02-12
R_019,C_037,S_003,2028-03-08
R_019,C_037,S_002,2028-03-29
R_019,C_037,S_004,2028-04-17
R_019,C_037,S_005,2028-02-27
R_019,C_038,S_001,2028-02-12
R_019,C_038,S_003,2028-03-08
R_019,C_038,S_002,2028-03-29
R_019,C_038,S_004,2028-04-17
R_019,C_038,S_005,2028-02-27
R_020,C_039,S_001,2028-03-13
R_020,C_039,S_003,2028-04-07
R_020,C_039,S_002,2028-04-28
R_020,C_039,S_004,2028-05-17
R_020,C_039,S_005,2028-03-28
R_020,C_040,S_001,2028-03-13
R_020,C_040,S_003,2028-04-07
R_020,C_040,S_002,2028-04-28
R_020,C_040,S_004,2028-05-17
R_020,C_040,S_005,2028-03-28
R_021,C_041,S_001,2028-04-12
R_021,C_041,S_003,2028-05-07
R_021,C_041,S_002,2028-05-28
R_021,C_041,S_004,2028-06-16
R_021,C_041,S_005,2028-04-27
R_021,C_042,S_001,2028-04-12
R_021,C_042,S_003,2028-05-07
R_021,C_042,S_002,2028-05-28
R_021,C_042,S_004,2028-06-16
R_021,C_042,S_005,2028-04-27
R_022,C_043,S_001,2028-05-12
R_022,C_043,S_003,2028-06-06
R_022,C_043,S_002,2028-06-27
R_022,C_043,S_004,2028-07-16
R_022,C_043,S_005,2028-05-27
R_022,C_044,S_001,2028-05-12
R_022,C_044,S_003,2028-06-06
R_022,C_044,S_002,2028-06-27
R_022,C_044,S_004,2028-07-16
R_022,C_044,S_005,2028-05-27
R_023,C_045,S_001,2028-06-11
R_023,C_045,S_003,2028-07-06
R_023,C_045,S_002,2028-07-27
R_023,C_045,S_004,2028-08-15
R_023,C_045,S_005,2028-06-26
R_023,C_046,S_001,2028-06-11
R_023,C_046,S_003,2028-07-06
R_023,C_046,S_002,2028-07-27
R_023,C_046,S_004,2028-08-15
R_023,C_046,S_005,2028-06-26
R_024,C_047,S_001,2028-07-11
R_024,C_047,S_003,2028-08-05
R_024,C_047,S_002,2028-08-26
R_024,C_047,S_004,2028-09-14
R_024,C_047,S_005,2028-07-26
R_024,C_048,S_001,2028-07-11
R_024,C_048,S_003,2028-08-05
R_024,C_048,S_002,2028-08-26
R_024,C_048,S_004,2028-09-14
R_024,C_048,S_005,2028-07-26
